iter	Passed	Remaining
461	413	928
462	413	926
463	414	924
464	414	923
465	415	921
466	415	920
467	416	918
468	417	916
469	417	915
470	418	913
471	418	911
472	419	910
473	419	908
474	420	906
475	420	905
476	421	903
477	421	902
478	422	900
479	422	898
480	423	897
481	423	895
482	424	893
483	425	892
484	425	890
485	426	889
486	426	887
487	427	886
488	428	885
489	428	883
490	429	882
491	430	881
492	430	879
493	431	877
494	431	876
495	432	874
496	432	873
497	433	871
498	433	870
499	434	868
500	434	867
501	435	865
502	436	864
503	436	862
504	437	861
505	437	859
506	438	858
507	438	856
508	439	855
509	439	853
510	440	852
511	441	851
512	441	850
513	442	849
514	443	848
515	443	846
516	444	845
517	445	843
518	445	842
519	446	840
520	446	839
521	447	838
522	447	836
523	448	835
524	449	834
525	449	833
526	450	831
527	451	830
528	451	829
529	452	827
530	452	826
531	453	824
532	453	823
533	454	821
534	454	820
535	455	818
536	455	817
537	456	815
538	456	814
539	457	813
540	457	811
541	458	810
542	458	808
543	459	807
544	459	805
545	460	804
546	461	803
547	461	802
548	462	800
549	462	799
550	463	798
551	463	796
552	464	795
553	465	794
554	465	792
555	466	791
556	466	790
557	467	788
558	467	787
559	468	786
560	469	785
561	469	784
562	470	783
563	471	781
564	471	780
565	472	779
566	473	778
567	473	777
568	474	776
569	475	775
570	475	774
571	476	772
572	476	771
573	477	770
574	478	769
575	478	767
576	479	766
577	479	765
578	480	763
579	480	762
580	481	761
581	481	760
582	482	759
583	483	758
584	484	757
585	484	755
586	485	754
587	485	753
588	486	751
589	486	751
590	487	750
591	488	749
592	489	748
593	490	747
594	490	746
595	491	745
596	492	744
597	492	743
598	493	742
599	494	741
600	494	740
601	495	739
602	496	738
603	496	737
604	497	735
605	498	734
606	498	733
607	499	732
608	499	731
609	500	729
610	500	728
611	501	727
612	502	726
613	502	725
614	503	724
615	504	723
616	504	722
617	505	721
618	505	719
619	506	718
620	507	717
621	507	717
622	508	715
623	509	714
624	509	713
625	510	712
626	510	711
627	511	710
628	512	709
629	512	708
630	513	707
631	514	705
632	514	704
633	515	703
634	515	702
635	516	701
636	516	700
637	517	699
638	518	698
639	519	697
640	519	696
641	520	695
642	520	694
643	521	693
644	521	691
645	522	690
646	522	689
647	523	688
648	523	687
649	524	685
650	525	684
651	525	683
652	526	682
653	526	681
654	527	680
655	527	678
656	528	677
657	528	676
658	529	675
659	529	674
660	530	673
661	530	671
662	531	670
663	532	669
664	532	669
665	533	668
666	534	667
667	534	666
668	535	665
669	536	664
670	536	663
671	537	662
672	537	661
673	538	660
674	539	659
675	539	658
676	540	657
677	541	656
678	541	655
679	542	654
680	543	653
681	543	652
682	544	651
683	545	650
684	546	649
685	546	648
686	547	647
687	547	646
688	548	645
689	548	644
690	549	643
691	549	642
692	550	641
693	551	640
694	551	639
695	552	638
696	553	637
697	553	636
698	554	635
699	554	634
700	555	633
701	555	632
702	556	631
703	557	630
704	558	629
705	558	628
706	559	627
707	560	626
708	561	625
709	561	625
710	562	624
711	563	623
712	563	622
713	564	621
714	565	620
715	565	619
716	566	618
717	567	617
718	567	616
719	568	616
720	569	614
721	569	613
722	570	612
723	570	611
724	571	610
725	572	609
726	572	608
727	573	608
728	573	606
729	574	606
730	575	605
731	575	604
732	576	603
733	577	602
734	577	601
735	578	600
736	578	599
737	579	598
738	580	597
739	580	596
740	581	595
741	582	594
742	582	593
743	583	592
744	583	591
745	584	590
746	584	589
747	585	588
748	585	587
749	586	586
750	586	585
751	587	584
752	587	583
753	588	582
754	589	581
755	589	580
756	590	579
757	590	578
758	591	577
759	591	576
760	592	575
761	593	574
762	593	573
763	594	572
764	594	571
765	595	570
766	596	569
767	596	568
768	597	567
769	597	566
770	598	565
771	599	564
772	599	564
773	600	562
774	600	561
775	601	560
776	601	559
777	602	558
778	602	557
779	603	556
780	603	555
781	604	554
782	604	553
783	605	552
784	605	551
785	606	550
786	606	549
787	607	548
788	607	547
789	608	546
790	608	545
791	609	544
792	610	543
793	610	542
794	611	542
795	611	541
796	612	540
797	612	539
798	613	538
799	613	537
800	614	536
801	615	535
802	615	534
803	616	533
804	616	532
805	617	531
806	617	530
807	618	529
808	618	528
809	619	527
810	619	526
811	620	525
812	620	524
813	621	523
814	621	522
815	621	521
816	622	520
817	623	519
818	623	518
819	623	517
820	624	516
821	624	515
822	625	514
823	625	513
824	626	512
825	626	511
826	627	510
827	628	510
828	629	509
829	629	508
830	630	507
831	630	506
832	631	505
833	631	504
834	632	503
835	632	502
836	633	501
837	633	500
838	634	500
839	635	499
840	635	498
841	636	497
842	637	496
843	637	495
844	638	494
845	638	493
846	639	492
847	639	492
848	640	491
849	641	490
850	641	489
851	642	488
852	642	487
853	643	486
854	643	485
855	644	484
856	645	484
857	645	483
858	646	482
859	646	481
860	647	480
861	647	479
862	648	478
863	648	477
864	649	476
865	649	475
866	650	474
867	650	473
868	651	472
869	651	471
870	652	470
871	652	470
872	653	469
873	653	468
874	654	467
875	654	466
876	655	465
877	655	464
878	656	463
879	656	462
880	657	461
881	658	461
882	658	460
883	659	459
884	659	458
885	660	457
886	660	456
887	661	455
888	661	454
889	662	453
890	662	452
891	663	451
892	663	451
893	663	450
894	664	449
895	664	448
896	665	447
897	665	446
898	666	445
899	666	444
900	667	443
901	667	442
902	668	441
903	668	440
904	669	440
905	669	439
906	670	438
907	670	437
908	671	436
909	672	435
910	672	434
911	673	433
912	673	433
913	674	432
914	674	431
915	674	430
916	675	429
917	675	428
918	676	427
919	676	426
920	676	425
921	677	424
922	677	423
923	678	422
924	678	421
925	679	421
926	679	420
927	680	419
928	680	418
929	681	417
930	681	416
931	681	415
932	682	414
933	682	413
934	683	412
935	683	411
936	684	411
937	684	410
938	684	409
939	685	408
940	685	407
941	685	406
942	686	405
943	686	404
944	687	403
945	687	402
946	688	401
947	688	400
948	688	399
949	689	399
950	689	398
951	689	397
952	690	396
953	690	395
954	691	394
955	691	393
956	692	392
957	692	391
958	693	390
959	693	390
960	693	389
961	694	388
962	694	387
963	694	386
964	695	385
965	695	384
966	695	383
967	696	382
968	696	381
969	697	380
970	697	380
971	698	379
972	698	378
973	698	377
974	699	376
975	699	375
976	700	374
977	700	373
978	701	373
979	701	372
980	702	371
981	702	370
982	704	370
983	705	369
984	706	369
985	706	368
986	707	367
987	708	366
988	708	366
989	709	365
990	710	364
991	710	363
992	711	363
993	712	362
994	712	361
995	713	360
996	713	360
997	714	359
998	714	358
999	715	357
1000	715	356
1001	716	356
1002	717	355
1003	717	354
1004	718	353
1005	718	352
1006	719	352
1007	719	351
1008	720	350
1009	721	349
1010	721	349
1011	722	348
1012	722	347
1013	722	346
1014	723	345
1015	723	344
1016	724	343
1017	724	342
1018	724	342
1019	725	341
1020	725	340
1021	725	339
1022	726	338
1023	726	337
1024	727	336
1025	727	336
1026	728	335
1027	728	334
1028	729	333
1029	729	332
1030	729	332
1031	730	331
1032	730	330
1033	731	329
1034	731	328
1035	732	327
1036	732	327
1037	732	326
1038	733	325
1039	733	324
1040	734	323
1041	734	322
1042	734	322
1043	735	321
1044	735	320
1045	736	319
1046	736	318
1047	737	318
1048	737	317
1049	738	316
1050	738	315
1051	739	314
1052	739	314
1053	740	313
1054	740	312
1055	741	311
1056	741	310
1057	742	310
1058	742	309
1059	742	308
1060	743	307
1061	743	306
1062	744	305
1063	744	305
1064	744	304
1065	745	303
1066	745	302
1067	745	301
1068	746	300
1069	747	300
1070	747	299
1071	748	298
1072	748	297
1073	749	297
1074	749	296
1075	750	295
1076	751	295
1077	751	294
1078	752	293
1079	753	292
1080	753	292
1081	754	291
1082	755	290
1083	756	290
1084	756	289
1085	757	288
1086	757	287
1087	758	287
1088	758	286
1089	759	285
1090	760	284
1091	760	284
1092	761	283
1093	761	282
1094	762	281
1095	762	281
1096	763	280
1097	763	279
1098	764	278
1099	764	278
1100	764	277
1101	765	276
1102	765	275
1103	765	274
1104	766	273
1105	766	273
1106	766	272
1107	767	271
1108	767	270
1109	767	269
1110	768	269
1111	768	268
1112	769	267
1113	769	266
1114	769	265
1115	770	265
1116	770	264
1117	771	263
1118	771	262
1119	772	261
1120	772	261
1121	772	260
1122	773	259
