iter	MAE
0	0.09096773869
1	0.08691597737
2	0.08262584378
3	0.07927061898
4	0.07536731524
5	0.0719086037
6	0.06889232363
7	0.06617837333
8	0.06386368325
9	0.06162560614
10	0.05882951696
11	0.05584345096
12	0.05302669881
13	0.05174516636
14	0.04929763422
15	0.04683350008
16	0.04478277527
17	0.04279734944
18	0.040768624
19	0.03942113058
20	0.03775619238
21	0.03599679175
22	0.0344483109
23	0.03296920777
24	0.03151949943
25	0.03070946262
26	0.02931625903
27	0.02807078822
28	0.02663961138
29	0.02561242681
30	0.02463126896
31	0.02365326958
32	0.02274805051
33	0.02209804265
34	0.02131546218
35	0.02059603638
36	0.01959790579
37	0.01889423191
38	0.01848667559
39	0.01803667404
40	0.01775770602
41	0.01710977128
42	0.01662155075
43	0.01608762134
44	0.01544999666
45	0.01528321336
46	0.0147207826
47	0.01437889248
48	0.01384288383
49	0.01360338236
50	0.01315975116
51	0.01283130014
52	0.01249356919
53	0.01238377338
54	0.01219679681
55	0.01198432717
56	0.01171383081
57	0.01149951008
58	0.01113677242
59	0.01098283472
60	0.01069402358
61	0.01049338168
62	0.01033464474
63	0.01000148856
64	0.009602286342
65	0.009400091737
66	0.0092606494
67	0.008938571286
68	0.008615932702
69	0.008360287637
70	0.00813906222
71	0.008002716791
72	0.007798521309
73	0.007678518195
74	0.007591427646
75	0.007329945034
76	0.007252905838
77	0.007116855243
78	0.006879734563
79	0.006776647359
80	0.006677877727
81	0.006595037066
82	0.006493984755
83	0.006360511616
84	0.006063120129
85	0.005933931103
86	0.005762642063
87	0.00570465452
88	0.005627978901
89	0.005511447698
90	0.005400314068
91	0.005206184296
92	0.005168794506
93	0.005081604171
94	0.004994177803
95	0.00491437141
96	0.004806240808
97	0.004707125326
98	0.004588407753
99	0.004475528973
100	0.004429378234
101	0.004296993476
102	0.004257979632
103	0.004182888709
104	0.004022110034
105	0.003934761812
106	0.003805536108
107	0.003739260254
108	0.003690330893
109	0.003636633357
110	0.003515392826
111	0.003473358699
112	0.003375757613
113	0.003279280034
114	0.003231835479
115	0.003145104907
116	0.003064363846
117	0.00300790601
118	0.002972607251
119	0.002946052282
120	0.00288376935
121	0.002813519068
122	0.002784523467
123	0.002683837421
124	0.002600793428
125	0.002578439374
126	0.002551065723
127	0.002506388345
128	0.002461799006
129	0.0024106136
130	0.002355718829
131	0.002334525536
132	0.002279639879
133	0.002232793373
134	0.002184934149
135	0.002142534238
136	0.002097897674
137	0.002057637625
138	0.001993987067
139	0.001955971098
140	0.001944194906
141	0.001933007523
142	0.001920407228
143	0.001908471743
144	0.001883083164
145	0.001845971043
146	0.001835707247
147	0.001807571681
148	0.001777022147
149	0.001748709959
150	0.001717365864
151	0.001687517481
152	0.00166542772
153	0.001645229387
154	0.001635740162
155	0.001630421765
156	0.001625328671
157	0.001616591508
158	0.001604732076
159	0.001593465615
160	0.001582762477
161	0.001569831565
162	0.001560070093
163	0.001548562824
164	0.001542005539
165	0.001513440419
166	0.001484279061
167	0.001460159871
168	0.001450963349
169	0.001442296714
170	0.001434095521
171	0.001402279625
172	0.001376196148
173	0.001351633295
174	0.001334538611
175	0.001327625366
176	0.001320403265
177	0.00131354293
178	0.001307025611
179	0.001300834158
180	0.001294952278
181	0.001289364492
182	0.001284071237
183	0.001276340184
184	0.001272423235
185	0.00125742225
186	0.001256311972
187	0.001255281847
188	0.001252254185
189	0.001251150735
190	0.00124174526
191	0.001237685491
192	0.001236308529
193	0.001233121887
194	0.001231083667
195	0.001219374441
196	0.001199875556
197	0.001187616945
198	0.001170672887
199	0.001137199677
200	0.001128013205
201	0.001119313005
202	0.001111704161
203	0.001099798785
204	0.001088488677
205	0.001077747477
206	0.001067546779
207	0.001057856115
208	0.001048652277
209	0.00103873354
210	0.001009497441
211	0.0009966263361
